date,open,high,low,close,P,R1,R2,R3,S1,S2,S3
2023-12-07,917.0,917.0,917.0,917.0,917.0,917.0,917.0,917.0,917.0,917.0,917.0
2023-12-08,710.95,710.95,710.95,710.95,710.95,710.95,710.95,710.95,710.95,710.95,710.95
2023-12-11,888.9,888.9,888.9,888.9,888.9,888.9,888.9,888.9,888.9,888.9,888.9
2023-12-12,857.85,857.85,857.85,857.85,857.85,857.85,857.85,857.85,857.85,857.85,857.85
2023-12-13,732.6,732.6,732.6,732.6,732.6,732.6,732.6,732.6,732.6,732.6,732.6
2023-12-14,709.55,709.55,709.55,709.55,709.55,709.55,709.55,709.55,709.55,709.55,709.55
2023-12-15,1024.05,1024.05,1024.05,1024.05,1024.05,1024.05,1024.05,1024.05,1024.05,1024.05,1024.05
2023-12-18,1257.35,1257.35,1257.35,1257.35,1257.35,1257.35,1257.35,1257.35,1257.35,1257.35,1257.35
2023-12-19,1019.95,1019.95,1019.95,1019.95,1019.95,1019.95,1019.95,1019.95,1019.95,1019.95,1019.95
2023-12-20,998.65,1148.55,666.65,666.65,827.2833,1011.3691,1125.0975,1309.1833,643.1975,529.4691,345.3833
2023-12-21,695.0,1160.45,536.2,1048.95,915.2,1153.6635,1300.9865,1539.45,676.7365,529.4135,290.95
2023-12-22,1000.15,1226.0,727.75,746.25,900.0,1090.3315,1207.9185,1398.25,709.6685,592.0815,401.75
2023-12-26,802.4,1022.1,718.1,935.15,891.7833,1007.9113,1079.6553,1195.7833,775.6553,703.9113,587.7833
2023-12-27,914.5,1277.7,914.5,1253.55,1148.5833,1287.3257,1373.0409,1511.7833,1009.8409,924.1257,785.3833
2023-12-28,1250.55,1500.0,1250.55,1301.0,1350.5167,1445.8066,1504.6768,1599.9667,1255.2268,1196.3566,1101.0667
2023-12-29,1301.7,1301.7,950.0,1048.1,1099.9333,1234.2827,1317.2839,1451.6333,965.5839,882.5827,748.2333
2024-01-01,1096.45,1243.1,880.0,905.8,1009.6333,1148.3375,1234.0291,1372.7333,870.9291,785.2375,646.5333
2024-01-02,937.8,937.8,475.2,493.55,635.5167,812.2299,921.4035,1098.1167,458.8035,349.6299,172.9167
2024-01-03,458.4,565.0,371.45,464.8,467.0833,541.0194,586.6972,660.6333,393.1472,347.4694,273.5333
2024-01-04,468.7,851.65,457.9,832.2,713.9167,864.3292,957.2542,1107.6667,563.5042,470.5792,320.1667
2024-01-05,820.25,875.1,397.7,598.0,623.6,805.9668,918.6332,1101.0,441.2332,328.5668,146.2
2024-01-08,590.0,630.25,132.05,155.0,305.7667,496.0791,613.6543,803.9667,115.4543,-2.1209,-192.4333
2024-01-09,192.2,413.0,30.4,36.75,160.05,306.2032,396.4968,542.65,13.8968,-76.3968,-222.55
2024-01-10,19.0,45.25,0.05,0.05,15.1167,32.3831,43.0503,60.3167,-2.1497,-12.8169,-30.0833
