date,open,high,low,close,P,R1,R2,R3,S1,S2,S3
2023-12-07,1097.55,1097.55,1097.55,1097.55,1097.55,1097.55,1097.55,1097.55,1097.55,1097.55,1097.55
2023-12-08,887.95,887.95,887.95,887.95,887.95,887.95,887.95,887.95,887.95,887.95,887.95
2023-12-11,1094.3,1149.05,995.25,1037.7,1060.6667,1119.4183,1155.7151,1214.4667,1001.9151,965.6183,906.8667
2023-12-12,1066.0,1066.0,830.55,857.55,918.0333,1007.9752,1063.5414,1153.4833,828.0914,772.5252,682.5833
2023-12-13,794.0,857.1,761.55,807.5,808.7167,845.2168,867.7666,904.2667,772.2166,749.6668,713.1667
2023-12-14,925.0,1406.6,925.0,1320.45,1217.35,1401.3212,1514.9788,1698.95,1033.3788,919.7212,735.75
2023-12-15,1320.45,1409.2,1156.0,1409.2,1324.8,1421.5224,1481.2776,1578.0,1228.0776,1168.3224,1071.6
2023-12-18,1409.2,1409.2,1255.0,1255.0,1306.4,1365.3044,1401.6956,1460.6,1247.4956,1211.1044,1152.2
2023-12-19,1255.0,1255.0,1255.0,1255.0,1255.0,1255.0,1255.0,1255.0,1255.0,1255.0,1255.0
2023-12-20,1250.35,1255.0,1250.35,1255.0,1253.45,1255.2263,1256.3237,1258.1,1251.6737,1250.5763,1248.8
2023-12-21,700.15,1430.35,692.5,1370.6,1164.4833,1446.342,1620.4746,1902.3333,882.6246,708.492,426.6333
2023-12-22,1404.85,1496.1,995.95,1016.85,1169.6333,1360.6906,1478.726,1669.7833,978.576,860.5406,669.4833
2023-12-26,1042.8,1256.95,972.75,1220.6,1150.1,1258.6644,1325.7356,1434.3,1041.5356,974.4644,865.9
2023-12-27,1177.15,1528.4,1177.15,1471.15,1392.2333,1526.4108,1609.3058,1743.4833,1258.0558,1175.1608,1040.9833
2023-12-28,1378.85,1792.35,1378.85,1614.5,1595.2333,1753.1903,1850.7763,2008.7333,1437.2763,1339.6903,1181.7333
2023-12-29,1614.5,1614.5,1250.0,1388.0,1417.5,1556.739,1642.761,1782.0,1278.261,1192.239,1053.0
2024-01-01,1435.05,1501.0,1201.0,1219.1,1307.0333,1421.6333,1492.4333,1607.0333,1192.4333,1121.6333,1007.0333
2024-01-02,1371.25,1371.25,742.25,743.0,952.1667,1192.4447,1340.8887,1581.1667,711.8887,563.4447,323.1667
2024-01-03,720.7,847.9,624.0,748.25,740.05,825.5798,878.4202,963.95,654.5202,601.6798,516.15
2024-01-04,750.0,1199.7,743.1,1196.25,1046.35,1220.7712,1328.5288,1502.95,871.9288,764.1712,589.75
2024-01-05,1196.25,1214.9,688.05,948.75,950.5667,1151.8234,1276.16,1477.4167,749.31,624.9734,423.7167
2024-01-08,878.25,986.4,316.15,366.85,556.4667,812.5022,970.6812,1226.7167,300.4312,142.2522,-113.7833
2024-01-09,440.0,769.45,138.9,163.05,357.1333,598.0034,746.8132,987.6833,116.2632,-32.5466,-273.4167
2024-01-10,111.2,238.7,51.9,160.9,150.5,221.8576,265.9424,337.3,79.1424,35.0576,-36.3
