date,open,high,low,close,P,R1,R2,R3,S1,S2,S3
2023-12-07,1469.75,1469.75,1469.75,1469.75,1469.75,1469.75,1469.75,1469.75,1469.75,1469.75,1469.75
2023-12-08,1291.45,1291.45,1291.45,1291.45,1291.45,1291.45,1291.45,1291.45,1291.45,1291.45,1291.45
2023-12-11,1043.7,1043.7,1043.7,1043.7,1043.7,1043.7,1043.7,1043.7,1043.7,1043.7,1043.7
2023-12-12,985.9,985.9,985.9,985.9,985.9,985.9,985.9,985.9,985.9,985.9,985.9
2023-12-13,1094.55,1094.55,1094.55,1094.55,1094.55,1094.55,1094.55,1094.55,1094.55,1094.55,1094.55
2023-12-14,1086.3,1086.3,520.75,540.75,715.9333,931.9734,1065.4432,1281.4833,499.8932,366.4234,150.3833
2023-12-15,541.8,579.3,423.25,445.15,482.5667,542.1778,579.0056,638.6167,422.9556,386.1278,326.5167
2023-12-18,438.15,576.85,438.15,571.4,528.8,581.7834,614.5166,667.5,475.8166,443.0834,390.1
2023-12-19,570.15,600.3,457.6,525.0,527.6333,582.1447,615.8219,670.3333,473.1219,439.4447,384.9333
2023-12-20,523.8,816.95,429.25,816.95,687.7167,835.8181,927.3153,1075.4167,539.6153,448.1181,300.0167
2023-12-21,758.2,1035.85,443.55,479.85,653.0833,879.3419,1019.1247,1245.3833,426.8247,287.0419,60.7833
2023-12-22,519.2,697.55,433.4,662.0,597.65,698.5553,760.8947,861.8,496.7447,434.4053,333.5
2023-12-26,564.15,688.2,482.2,498.45,556.2833,634.9753,683.5913,762.2833,477.5913,428.9753,350.2833
2023-12-27,525.7,525.7,335.95,336.3,399.3167,471.8012,516.5822,589.0667,326.8322,282.0512,209.5667
2023-12-28,352.45,353.75,259.2,282.0,298.3167,334.4348,356.7486,392.8667,262.1986,239.8848,203.7667
2023-12-29,303.95,350.0,233.25,266.6,283.2833,327.8818,355.4348,400.0333,238.6848,211.1318,166.5333
2024-01-01,280.0,304.85,169.9,283.1,252.6167,304.1676,336.0158,387.5667,201.0658,169.2176,117.6667
2024-01-02,260.0,479.8,240.3,479.7,399.9333,491.4223,547.9443,639.4333,308.4443,251.9223,160.4333
2024-01-03,400.1,529.5,333.95,366.35,409.9333,484.6334,530.7832,605.4833,335.2332,289.0834,214.3833
2024-01-04,410.0,410.05,125.0,126.0,220.35,329.2391,396.5109,505.4,111.4609,44.1891,-64.7
2024-01-05,125.4,294.45,84.4,127.0,168.6167,248.8558,298.4276,378.6667,88.3776,38.8058,-41.4333
2024-01-08,117.1,515.95,107.5,446.75,356.7333,512.7612,609.1554,765.1833,200.7054,104.3112,-51.7167
2024-01-09,340.6,677.4,111.0,595.9,461.4333,677.7981,811.4685,1027.8333,245.0685,111.3981,-104.9667
2024-01-10,650.0,794.4,386.7,438.3,539.8,695.5414,791.7586,947.5,384.0586,287.8414,132.1
