date,open,high,low,close,P,R1,R2,R3,S1,S2,S3
2023-12-07,1242.0,1242.0,1242.0,1242.0,1242.0,1242.0,1242.0,1242.0,1242.0,1242.0,1242.0
2023-12-08,1057.6,1057.6,1057.6,1057.6,1057.6,1057.6,1057.6,1057.6,1057.6,1057.6,1057.6
2023-12-11,837.75,837.75,837.75,837.75,837.75,837.75,837.75,837.75,837.75,837.75,837.75
2023-12-12,781.75,781.75,781.75,781.75,781.75,781.75,781.75,781.75,781.75,781.75,781.75
2023-12-13,873.7,873.7,873.7,873.7,873.7,873.7,873.7,873.7,873.7,873.7,873.7
2023-12-14,864.05,864.05,864.05,864.05,864.05,864.05,864.05,864.05,864.05,864.05,864.05
2023-12-15,571.3,571.3,571.3,571.3,571.3,571.3,571.3,571.3,571.3,571.3,571.3
2023-12-18,417.35,417.35,417.35,417.35,417.35,417.35,417.35,417.35,417.35,417.35,417.35
2023-12-19,472.5,472.5,360.9,385.2,406.2,448.8312,475.1688,517.8,363.5688,337.2312,294.6
2023-12-20,385.2,385.2,297.5,297.5,326.7333,360.2347,380.9319,414.4333,293.2319,272.5347,239.0333
2023-12-21,612.8,793.05,297.5,351.75,480.7667,670.0668,787.0166,976.3167,291.4666,174.5168,-14.7833
2023-12-22,363.3,531.75,330.0,508.55,456.7667,533.8352,581.4482,658.5167,379.6982,332.0852,255.0167
2023-12-26,508.55,512.65,356.65,363.0,410.7667,470.3587,507.1747,566.7667,351.1747,314.3587,254.7667
2023-12-27,350.0,375.0,236.95,236.95,282.9667,335.7018,368.2816,421.0167,230.2316,197.6518,144.9167
2023-12-28,249.4,249.7,177.75,189.15,205.5333,233.0182,249.9984,277.4833,178.0484,161.0682,133.5833
2023-12-29,204.45,238.5,145.0,168.4,183.9667,219.6837,241.7497,277.4667,148.2497,126.1837,90.4667
2024-01-01,183.0,190.0,102.8,173.6,155.4667,188.7771,209.3563,242.6667,122.1563,101.5771,68.2667
2024-01-02,172.95,296.4,144.8,291.4,244.2,302.1112,337.8888,395.8,186.2888,150.5112,92.6
2024-01-03,292.65,336.3,192.4,207.25,245.3167,300.2865,334.2469,389.2167,190.3469,156.3865,101.4167
2024-01-04,232.7,232.7,60.0,62.15,118.2833,184.2547,225.0119,290.9833,52.3119,11.5547,-54.4167
2024-01-05,58.05,142.8,34.5,47.85,75.05,116.4206,141.9794,183.35,33.6794,8.1206,-33.25
2024-01-08,41.25,245.35,38.9,197.45,160.5667,239.4306,288.1528,367.0167,81.7028,32.9806,-45.8833
2024-01-09,86.7,331.45,24.25,263.8,206.5,323.8504,396.3496,513.7,89.1496,16.6504,-100.7
2024-01-10,312.0,413.0,10.4,38.8,154.0667,307.8599,402.8735,556.6667,0.2735,-94.7401,-248.5333
