date,open,high,low,close,P,R1,R2,R3,S1,S2,S3
2023-12-07,1146.15,1146.15,1146.15,1146.15,1146.15,1146.15,1146.15,1146.15,1146.15,1146.15,1146.15
2023-12-08,936.45,1002.15,901.9,1002.15,968.7333,1007.0288,1030.6878,1068.9833,930.4378,906.7788,868.4833
2023-12-11,1002.15,1034.8,1002.15,1034.8,1023.9167,1036.389,1044.0944,1056.5667,1011.4444,1003.739,991.2667
2023-12-12,1122.5,1122.5,843.0,862.25,942.5833,1049.3523,1115.3143,1222.0833,835.8143,769.8523,663.0833
2023-12-13,876.9,952.0,790.05,932.3,891.45,953.3149,991.5351,1053.4,829.5851,791.3649,729.5
2023-12-14,932.3,1475.0,932.3,1346.8,1251.3667,1458.6781,1586.7553,1794.0667,1044.0553,915.9781,708.6667
2023-12-15,1327.05,1509.0,1202.45,1509.0,1406.8167,1523.9188,1596.2646,1713.3667,1289.7146,1217.3688,1100.2667
2023-12-18,1509.0,1509.0,1509.0,1509.0,1509.0,1509.0,1509.0,1509.0,1509.0,1509.0,1509.0
2023-12-19,1338.2,1509.0,1338.2,1509.0,1452.0667,1517.3123,1557.6211,1622.8667,1386.8211,1346.5123,1281.2667
2023-12-20,1318.2,1509.0,1084.1,1084.35,1225.8167,1388.1285,1488.4049,1650.7167,1063.5049,963.2285,800.9167
2023-12-21,875.45,1529.75,736.3,1438.5,1234.85,1537.9479,1725.2021,2028.3,931.7521,744.4979,441.4
2023-12-22,1434.5,1607.35,1162.95,1162.95,1311.0833,1480.8441,1585.7225,1755.4833,1141.3225,1036.4441,866.6833
2023-12-26,1162.95,1352.0,1162.95,1261.9,1258.95,1331.1671,1375.7829,1448.0,1186.7329,1142.1171,1069.9
2023-12-27,1251.45,1665.0,1251.45,1649.95,1522.1333,1680.1094,1777.7072,1935.6833,1364.1572,1266.5594,1108.5833
2023-12-28,1614.8,1649.95,1614.8,1649.95,1638.2333,1651.6606,1659.956,1673.3833,1624.806,1616.5106,1603.0833
2023-12-29,1626.6,1649.95,1492.75,1492.75,1545.15,1605.2004,1642.2996,1702.35,1485.0996,1448.0004,1387.95
2024-01-01,1492.75,1688.05,1483.85,1688.05,1619.9833,1697.9877,1746.1789,1824.1833,1541.9789,1493.7877,1415.7833
2024-01-02,1305.95,1688.05,811.0,811.0,1103.35,1438.3831,1645.3669,1980.4,768.3169,561.3331,226.3
2024-01-03,882.25,927.2,703.2,823.45,817.95,903.518,956.382,1041.95,732.382,679.518,593.95
2024-01-04,857.0,1289.5,847.25,1285.65,1140.8,1309.7395,1414.1105,1583.05,971.8605,867.4895,698.55
2024-01-05,1229.2,1320.0,772.0,1042.7,1044.9,1254.236,1383.564,1592.9,835.564,706.236,496.9
2024-01-08,950.35,1077.4,381.5,431.55,630.15,895.9838,1060.2162,1326.05,364.3162,200.0838,-65.75
2024-01-09,500.0,863.4,187.0,218.05,422.8167,681.2015,840.8319,1099.2167,164.4319,4.8015,-253.5833
2024-01-10,148.0,320.0,86.75,260.65,222.4667,311.5682,366.6152,455.7167,133.3652,78.3182,-10.7833
